Région;Date;Taux_de_Mortalité
Île-de-France;2024-03;0.0005337741468442847
Île-de-France;2024-04;0.0004933891247318761
Île-de-France;2024-05;0.0004981355715538523
Île-de-France;2024-06;0.0005048127764051072
Île-de-France;2024-07;0.0004968483995343334
Île-de-France;2024-08;0.0004806783010391259
Île-de-France;2024-09;0.0004814827835513253
Île-de-France;2024-10;0.0005544493474078085
Île-de-France;2024-11;0.0005365898356369824
Île-de-France;2024-12;0.0006180034658715591
Île-de-France;2025-01;0.0006976231098778887
Île-de-France;2025-02;0.0005416498103864243
Île-de-France;2025-03;0.000547191601151054
Île-de-France;2025-04;0.000497476115885752
Île-de-France;2025-05;0.0004956288522975421
Île-de-France;2025-06;0.00046759863524166104
Normandie;2024-01;0.0010640389842333667
Normandie;2024-02;0.0009251601969804041
Normandie;2024-03;0.000922765735131215
Normandie;2024-04;0.0008524284183112879
Normandie;2024-05;0.0008703868821802054
Normandie;2024-06;0.0008413540322587886
Normandie;2024-07;0.0008392588781407482
Normandie;2024-08;0.0007934647952750084
Normandie;2024-09;0.0008272865688948032
Normandie;2024-10;0.0009389283526132408
Normandie;2024-11;0.0008667951894064219
Normandie;2024-12;0.0010673313692760016
Normandie;2025-01;0.001187856746092553
Normandie;2025-02;0.0009385534783941158
Normandie;2025-03;0.0009319692384308918
Normandie;2025-04;0.0008769010496475635
Normandie;2025-05;0.0008598418824701195
Normandie;2025-06;0.0007942987664725712
Nouvelle-Aquitaine;2024-01;0.0011542823746367936
Nouvelle-Aquitaine;2024-02;0.0009679560964044704
Nouvelle-Aquitaine;2024-03;0.0009579019369176088
Nouvelle-Aquitaine;2024-04;0.0009021175681517957
Nouvelle-Aquitaine;2024-05;0.0008881714759603425
Nouvelle-Aquitaine;2024-06;0.0008842795432557509
Nouvelle-Aquitaine;2024-07;0.0008714685981031368
Nouvelle-Aquitaine;2024-08;0.0008751983669450372
Nouvelle-Aquitaine;2024-09;0.0008596306361266708
Nouvelle-Aquitaine;2024-10;0.0009587127562310653
Nouvelle-Aquitaine;2024-11;0.0009131447108148053
Nouvelle-Aquitaine;2024-12;0.001034281116245219
Nouvelle-Aquitaine;2025-01;0.001162777738564471
Nouvelle-Aquitaine;2025-02;0.0009705697223272547
Nouvelle-Aquitaine;2025-03;0.0009696006062789998
Nouvelle-Aquitaine;2025-04;0.0008925558804427374
Nouvelle-Aquitaine;2025-05;0.0008986936154150183
Nouvelle-Aquitaine;2025-06;0.0008159957126306026
Occitanie;2024-01;0.0010382483688725415
Occitanie;2024-02;0.0008923613286073938
Occitanie;2024-03;0.0008902517273577309
Occitanie;2024-04;0.000809924602851337
Occitanie;2024-05;0.0008131701432354338
Occitanie;2024-06;0.0007687062399733087
Occitanie;2024-07;0.0008138192513122531
Occitanie;2024-08;0.0008100868798705419
Occitanie;2024-09;0.0007894776984315277
Occitanie;2024-10;0.0008918744975497793
Occitanie;2024-11;0.0008483842564028832
